开课院系,课程号,课序号,课程名,学分,主讲教师,本科生课容量,本科生课余量,研究生课容量,上课时间,掉课率
美术学院,30806472,1,服装设计效果图,2,李迎军,18,6,0,"1-1(9-12周),4-2(9-12周…",16.081130895528414
美术学院,30806472,2,服装设计效果图,2,吴波,20,4,0,"1-1(9-12周),4-2(9-12周…",16.972180117114398
美术学院,30806722,0,材料与设计,2,李朝阳,40,9,0,"3-2(后八周),3-1(后八周)",18.460263856426703
美术学院,30806771,0,用户研究方法,1,王国胜,25,7,0,"5-2(1-4周),5-1(1-4周)",16.53700426391993
美术学院,30806983,0,素描基础,3,张雷,25,0,0,"5-6(1-6周),5-5(1-6周),5…",47.05251245345474
美术学院,30806993,0,色彩基础,3,蒋智南,30,10,0,"6-4(11-16周),6-3(11-16…",14.635454444922935
美术学院,30807448,0,动画创作（1）,8,王之纲,29,8,0,"1-1(1-11周),3-2(1-11周…",10.92801392891702
美术学院,30807453,0,佛教物质文化,3,李静杰,20,5,0,"1-2(7-12周),1-1(7-12周…",14.9350431759183
美术学院,30807663,0,考古学,3,李静杰,20,5,0,"1-2(1-6周),1-1(1-6周),3…",17.095355525213293
美术学院,30807703,0,泥塑胸像（2）,3,魏二强,20,4,0,"3-2(9-12周),3-1(9-12周…",16.9574517774665
美术学院,30807783,1,视觉思维,3,李德庚,30,3,0,"4-1(后八周),2-2(后八周…",19.511884631913233
美术学院,30807783,10,视觉思维,3,聂影,30,4,0,"4-1(后八周),2-2(后八周…",13.402394595923138
美术学院,30807783,2,视觉思维,3,贺婧,30,4,0,"4-1(后八周),2-2(后八周…",13.833489761716487
美术学院,30807783,3,视觉思维,3,雷磊,30,4,0,"4-1(后八周),2-2(后八周…",10.255204402332991
美术学院,30807783,4,视觉思维,3,周岳,30,4,0,"4-1(后八周),2-2(后八周…",16.203521831195022
美术学院,30807783,5,视觉思维,3,刘亚,30,4,0,"4-1(后八周),2-2(后八周…",10.572621391175653
美术学院,30807783,6,视觉思维,3,张宝华,30,4,0,"4-1(后八周),2-2(后八周…",11.269786262751794
美术学院,30807783,7,视觉思维,3,徐小鼎,30,4,0,"4-1(后八周),2-2(后八周…",14.171870876377668
美术学院,30807783,8,视觉思维,3,王晓昕,30,4,0,"4-1(后八周),2-2(后八周…",18.876432321707334
美术学院,30807783,9,视觉思维,3,关琰,30,4,0,"4-1(后八周),2-2(后八周…",13.369009518804393
美术学院,30807793,0,计算思维与数字媒体,3,徐迎庆,290,29,0,"4-2(前八周),4-1(前八周…",15.504292914866896
美术学院,30807813,0,外国艺术史,3,张敢,290,29,0,"1-4(全周),1-3(全周)",12.147910909811829
美术学院,30807822,0,学术探知,2,杨冬江,290,33,0,"4-4(双周),4-3(双周)",15.310403811061258
美术学院,30808012,0,陶瓷设计基础,2,尹航,13,3,0,"4-2(13-16周),4-1(13-1…",13.00209400384518
美术学院,30808022,0,油画专业普修,2,张姗姗,35,8,0,"4-2(13-16周),4-1(13-1…",15.955349962361968
美术学院,30808032,0,中国画专业普修,2,金纳,35,8,0,"1-1(9-12周),4-2(9-12…",11.639138484739957
美术学院,30808045,0,浮雕人体,5,马天羽,18,3,0,"1-2(13-16周),1-1(13-1…",16.860568894249486
美术学院,30808055,0,泥塑胸像,5,王轶男,18,3,0,"3-2(5-8周),3-1(5-8周),…",19.950150375696857
美术学院,30808065,0,1/2泥塑人体（1）,5,马文甲,18,3,0,"3-2(9-12周),3-1(9-12…",19.771894797354257
美术学院,30808073,0,陶瓷工艺学,3,董素学,13,3,0,"4-1(7-12周),1-2(7-12…",10.53185726659613
美术学院,30808084,0,分镜头脚本绘制,4,曹景颐,37,14,0,"4-1(4-8周),1-2(4-8周),…",17.843274682046776
美术学院,30808093,0,中国古代物质文化,3,陈彦姝,20,6,0,"1-2(前八周),1-1(前八…",18.482569667455685
美术学院,30808102,0,外国工艺美术史,2,王小茉,20,6,0,"4-2(前八周),2-2(前八周)",11.557625889766607
美术学院,30808112,0,实体交互综合设计,2,徐迎庆,23,6,0,"4-2(13-16周),4-1(13-1…",10.007321684691084
美术学院,30808122,0,西方现代设计,2,王小茉,20,6,0,"2-2(后八周),4-2(后八周)",14.59821396223528
美术学院,30808132,0,漆工艺基础,2,程向军,30,11,0,"4-2(13-16周),4-1(13-1…",10.474916580873275
美术学院,30808142,1,建筑园林史论,2,周浩明,22,4,0,"1-2(前八周),1-1(前八周)",15.268197702526164
美术学院,30808142,2,建筑园林史论,2,方晓风,20,4,0,"1-2(前八周),1-1(前八周)",13.17649901399532
美术学院,30808152,0,物理计算,2,米海鹏,23,6,0,"1-2(5-12周),1-1(5-12周)",11.022370838970582
美术学院,30808162,0,材料工艺与原型制作,2,冼枫,23,6,0,"4-2(5-12周),4-1(5-12周)",18.461458434972577
美术学院,30808171,0,人机工程学,1,王国胜,40,7,0,"4-2(1-4周),4-1(1-4周)",13.82064141959413
美术学院,30808184,1,设计思维与程序方法,4,王国胜,25,4,0,"4-1(后八周),1-2(后八周…",13.92788961897376
美术学院,30808184,2,设计思维与程序方法,4,蒋红斌,20,6,0,"4-1(后八周),1-2(后八周…",19.133413591636618
美术学院,30808192,1,设计工程基础,2,严扬,25,4,0,"1-2(前八周),1-1(前八周)",15.852152884426154
美术学院,30808192,2,设计工程基础,2,陈洛奇,20,8,0,"1-2(前八周),1-1(前八周)",19.73106592696966
美术学院,30808204,0,动态影像造型,4,马森,37,14,0,"4-1(后八周),1-2(后八周…",12.093473431514429
美术学院,30808213,0,中国古代书法,3,邱才桢,20,6,0,"1-2(后八周),1-1(后八周…",14.146900968521473
美术学院,30808222,0,刺绣工艺,2,张红娟,35,7,0,"4-2(1-4周),4-1(1-4周),1…",13.7986571297841
美术学院,30808232,1,服装工艺,2,吴波,18,6,0,"4-2(13-16周),4-1(13-1…",16.41662054544748
美术学院,30808232,2,服装工艺,2,王悦,20,5,0,"4-2(13-16周),4-1(13-1…",13.330198605033438
美术学院,30808242,0,立体裁剪,2,臧迎春,35,7,0,"4-2(5-8周),4-1(5-8周),1…",16.213314029704726
美术学院,30808253,0,传统陶瓷基础,3,孙月,13,3,0,"4-2(1-6周),4-1(1-6周),1…",13.124522224051686
美术学院,30808264,1,字体与编排设计,4,王红卫,20,3,0,"4-2(前八周),4-1(前八周…",14.008244818395037
美术学院,30808264,2,字体与编排设计,4,赵健,25,7,0,"4-2(前八周),4-1(前八周…",10.224694407331983
美术学院,30808272,0,玻璃工艺基础,2,李静,30,11,0,"4-2(5-8周),4-1(5-8周),1…",15.047127666206775
美术学院,30808284,1,数字媒介设计,4,向帆,30,13,0,"4-1(后八周),1-2(后八周…",14.005532039534154
美术学院,30808284,2,数字媒介设计,4,张柏萌,30,12,0,"4-1(后八周),1-2(后八周…",16.823501113586538
美术学院,30808292,0,纤维工艺基础,2,庞礴,30,11,0,"1-1(9-12周),4-2(9-12周…",11.788727150876937
美术学院,30808302,0,3D数字造型,2,张茫茫,23,6,0,"4-2(1-4周),4-1(1-4周…",17.241720075191537
建管系,30910032,0,建筑施工技术,2,丁然,48,11,0,5-1(全周),13.782323939856724
建管系,30910042,0,建筑施工组织,2,李小冬,18,3,0,5-2(全周),18.42346103176063
建管系,30910052,0,工程项目管理(1),2,李小冬,125,7,0,1-3(全周),10.452623321625254
建管系,30910101,3,因材施教导师制研讨课(4）,1,黄玥诚,3,2,0,(全周),15.202882581313826
建管系,30910101,4,因材施教导师制研讨课(4）,1,郭红领,2,0,0,(全周),33.803407020268196
天文系,30920013,0,观测天文学(英),3,王雪凇,18,10,5,3-6(全周),13.02669758864415
心理系,30950034,0,心智的演化与发展,4,伍珍,29,1,0,"2-6(全周),3-6(全周)",19.82637215338763
心理系,30950053,0,中枢神经系统与解剖,3,刘嘉,10,0,0,1-6(全周),45.854245351466545
心理系,30950064,0,神经元与神经环路,4,刘嘉,10,0,0,"1-4(全周),1-3(全周)",35.60782831374567
教研院,31030033,0,教育心理学,3,魏军,45,6,1,2-6(全周),18.84802841915134
临床医学院,34000082,0,医学心理学,2,刘破资,66,0,0,3-4(全周),32.27967639149532
基础医学院,34000236,1,局部解剖学,6,刘津平,35,6,0,"5-4(前八周),5-3(前八…",13.445354995901969
基础医学院,34000236,2,局部解剖学,6,刘津平,34,3,0,"5-4(后八周),5-3(后八…",18.48650127170925
生医工程学院,34000372,0,医疗仪器原理,2,陈慧军,65,8,0,4-2(全周),18.353418502631428
生医工程学院,34000503,0,医学影像(2)–成像系统,3,宋小磊,35,5,0,"2-4(全周),2-3(全周)",15.492012408808083
基础医学院,34000512,0,医学伦理学,2,王大亮,70,9,0,3-4(全周),13.345381911237578
基础医学院,34000612,0,生物统计学基础,2,夏永静,60,26,0,3-1(全周),18.28601239218615
生医工程学院,34000673,0,生物医学电子学（2）- 仪器,3,腾轶超,60,3,0,3-2(全周),19.918502600755417
基础医学院,34000704,0,医学生化和分子生物学（1）,4,朱佳俊,40,14,0,"5-1(全周),2-2(全周)",19.476946019084888
生医工程学院,34000733,0,人体结构与功能,3,赵锡海,80,12,0,4-2(全周),10.181498825715785
生医工程学院,34000742,0,生理系统仿真与建模,2,陈慧军,40,13,0,4-1(全周),16.025233602722167
临床医学院,34000761,1,临床早接触与医学人文（2）,1,刘芳,10,0,0,"2-4(单周),2-3(单周)",34.40586154036383
临床医学院,34000761,2,临床早接触与医学人文（2）,1,刘华玮,10,0,0,"2-4(单周),2-3(单周)",47.202479633788826
临床医学院,34000761,3,临床早接触与医学人文（2）,1,王炜,10,0,0,"2-4(单周),2-3(单周)",38.49563794427424
基础医学院,34000811,0,医学细胞生物学实验,1,潘登,60,4,0,3-6(全周),10.081240104615445
基础医学院,34000822,0,基础医学总论(1),2,那洁,60,1,0,2-2(全周),11.679239013793609
基础医学院,34000833,0,遗传与医学遗传学,3,刘志华,60,3,0,"2-4(1-12周),2-3(1-12周)",14.265723322296086
基础医学院,34000845,1,医学微生物和寄生虫学,5,谢兰,30,0,0,"1-1(全周),5-2(全周),5-…",34.75375674292268
基础医学院,34000845,2,医学微生物和寄生虫学,5,王雅婷,30,4,0,"1-1(全周),5-2(全周),5-…",16.284156591654018
临床医学院,34000851,1,临床早接触与医学人文（4）,1,刘芳,12,0,0,"4-4(双周),4-3(双周)",37.20839228232342
临床医学院,34000851,2,临床早接触与医学人文（4）,1,刘华玮,11,0,0,"4-4(双周),4-3(双周)",48.86472294700911
临床医学院,34000851,3,临床早接触与医学人文（4）,1,王炜,11,0,0,"4-4(双周),4-3(双周)",30.019234576038567
临床医学院,34000851,4,临床早接触与医学人文（4）,1,杨帆,11,0,0,"4-4(双周),4-3(双周)",30.533168641688
临床医学院,34000851,5,临床早接触与医学人文（4）,1,冯莉莉,11,0,0,"4-4(双周),4-3(双周)",32.00477089125193
药学院,34020041,0,药事管理学,1,郝艳丽,25,16,0,2-6(前八周),13.011386833054997
药学院,34020082,0,衰老生物学,2,王钊,30,22,0,2-3(全周),16.081521928484737
软件学院,34100053,0,操作系统,3,闻立杰,120,30,0,1-2(全周),17.892913609137626
软件学院,34100173,0,数据库原理,3,王朝坤,120,22,0,2-2(全周),13.521881694643143
软件学院,34100362,0,面向对象程序设计基础,2,雍俊海,180,0,0,2-3(全周),39.305739603969265
