开课院系,课程号,课序号,课程名,学分,主讲教师,本科生课容量,本科生课余量,研究生课容量,研究生课余量,上课时间,课程特色,年级,通识选秀课组
新闻学院,40670283,90,影视制作(1),3,梁君健,45,19,0,0,3-6(全周),,,
新闻学院,40670363,90,媒介调查与统计,3,金兼斌,28,17,5,5,2-6(全周),,,
新闻学院,40670372,90,清新时报工作坊,2,陆洪磊,15,9,4,2,4-2(全周),实践课,,
新闻学院,40670803,90,社会化媒体应用（2）,3,张小琴,28,22,0,0,2-6(全周),实践课,,
马克思主义学院,40680021,0,文献检索与利用（马克思主义理论）,1,王媛,25,2,0,0,3-4(前八周),,2024,
马克思主义学院,40680042,0,马克思主义哲学（上）,2,刘恩至,30,4,0,0,4-2(1-10周),,2024,
马克思主义学院,40680053,0,中华人民共和国史,3,李玉蓉,25,5,0,0,"1-4(1-12周),1-3(1-12周)",,2022,
马克思主义学院,40680062,0,《资本论》选读,2,王峰明,25,0,0,0,5-4(全周),,,
马克思主义学院,40680112,0,马克思主义伦理学,2,李义天,25,3,0,0,3-2(全周),,2023,
马克思主义学院,40680122,0,伦理学理论与道德实践,2,肖巍,25,5,0,0,1-2(1-10周),,2022,
马克思主义学院,40680132,0,马克思主义与当代社会思潮,2,蒋耘中,25,1,0,0,2-4(全周),,,
马克思主义学院,40680142,0,网络意识形态建设概论,2,张瑜,25,12,0,0,2-2(全周),,,
人文学院,40690010,1,综合论文训练,15,陈壁生,10,7,0,0,(全周),,,
人文学院,40690010,2,综合论文训练,15,熊鹰,10,7,0,0,(全周),,,
人文学院,40690043,0,魏晋南北朝史,3,孙正军,50,1,0,0,3-6(全周),,2023,
人文学院,40690093,0,秦汉史,3,郭伟涛,50,13,0,0,5-2(全周),文化素质核心课; 文化素质课;,2022,
人文学院,40690143,0,先秦史,3,刘国忠,30,22,0,0,"1-4(全周),1-3(全周)",文化素质核心课; 文化素质课;,2022,
人文学院,40690273,0,宋元史,3,方诚峰,32,19,0,0,5-2(全周),,2023,
人文学院,40690313,0,世界近现代史,3,梅雪芹,40,27,5,4,"3-4(全周),3-3(全周)",,2022,
人文学院,40690363,0,宗教学原理,3,朱东华,40,7,0,0,5-2(全周),文化素质核心课; 文化素质课;,2023,
人文学院,40690703,0,《圣经》与西方文化,3,黄裕生,60,13,0,0,5-2(全周),,2024,
人文学院,40690783,0,汉字学,3,李守奎,40,9,0,0,"3-4(全周),3-3(全周)",,2023,
人文学院,40690793,0,日本史,3,刘晓峰,40,0,0,0,1-2(全周),,2022,
人文学院,40690973,0,数字人文与Python编程,3,刘颖,40,6,0,0,4-2(全周),实验课,2022,
人文学院,40691040,0,综合论文训练,12,孙正军,10,8,0,0,(全周),实践课,,
人文学院,40691123,0,宋明理学,3,高海波,30,18,0,0,3-2(全周),,2022,
人文学院,40691163,90,英语世界中的道家哲学,3,袁艾,25,15,0,0,"2-4(全周),2-3(全周)",全外文授课; 认证外文课;,2022,
人文学院,40691182,0,数字人文,2,李飞跃,40,7,0,0,4-6(全周),,2023,
人文学院,40691223,0,现代基督教哲学,3,瞿旭彤,50,0,10,8,3-6(全周),,2022,
人文学院,40691243,0,法国史,3,吕昭,30,0,0,0,2-2(全周),,2023,
人文学院,40691293,0,德国古典哲学与马克思,3,陈浩,32,13,0,0,2-2(全周),,2022,
人文学院,40691373,0,甲骨学通论与资料选读,3,黄天树,25,3,0,0,4-2(全周),,2021,
人文学院,40691393,0,古地图中的东亚,3,宋念申,25,10,0,0,"3-4(全周),3-3(全周)",,,
人文学院,40691443,0,国际汉学专题,3,Rens Krij…,20,16,0,0,5-2(全周),全外文授课,2022,
人文学院,40691483,0,考古学专题,3,严志斌,30,14,0,0,2-2(全周),,2022,
人文学院,40691509,1,综合论文训练,9,熊鹰,40,14,0,0,(全周),,2021,
人文学院,40691509,2,综合论文训练,9,陈壁生,40,4,0,0,(全周),,2021,
人文学院,40691509,3,综合论文训练,9,孙正军,40,8,0,0,(全周),,2021,
人文学院,40691509,4,综合论文训练,9,王子杨,10,4,0,0,(全周),,2021,
人文学院,40691513,0,欧洲文学与思想,3,范佳妮,30,2,0,0,"1-4(全周),1-3(全周)",外文教材，中文为主进行授课(双语课),2022,
人文学院,40691523,0,亚里士多德《尼各马可伦理学》,3,HAHMANN…,25,10,0,0,"5-4(全周),5-3(全周)",全外文授课,2022,
人文学院,40691543,0,全球视野下的艺术史,3,孙晶,30,30,0,0,2-2(全周),外文教材，中文为主进行授课(双语课),,
社科学院,40700010,1,综合论文训练,15,孙秀林,40,18,0,0,(全周),,,
社科学院,40700010,2,综合论文训练,15,李红军,60,13,0,0,(全周),,,
社科学院,40700010,3,综合论文训练,15,漆海霞,40,24,0,0,(全周),,,
社科学院,40700010,4,综合论文训练,15,伍珍,40,21,0,0,(全周),,,
社科学院,40700010,5,综合论文训练,15,于晓虹,5,2,0,0,(全周),,,
社科学院,40700053,0,国际关系学概论,3,邢悦,35,0,0,0,"3-4(全周),3-3(全周)",,2.0232E+11,
社科学院,40700103,0,社会分层与流动,3,王天夫,50,13,0,0,2-2(全周),,2.0232E+11,
社科学院,40700133,0,社会统计学,3,何晓斌,55,19,0,0,4-2(全周),,2.0232E+11,
社科学院,40700163,0,组织社会学,3,刘军强,30,9,0,0,4-6(全周),,20212022,
社科学院,40700173,0,社会问题与社会政策,3,刘军强,30,7,0,0,3-6(全周),外文教材，中文为主进行授课(双语课),2.0232E+11,
社科学院,40700183,0,西方社会学思想史(下),3,杜月,75,35,0,0,"3-4(全周),3-3(全周)",外文教材，中文为主进行授课(双语课),20232022,
社科学院,40700203,1,日本研究,3,刘江永,80,50,0,0,"2-4(全周),2-3(全周)",,20212022,
社科学院,40700233,0,中国对外政策,3,孙学峰,40,2,0,0,2-6(全周),文化素质核心课; 文化素质课;,2.0232E+11,
社科学院,40700283,0,中级宏观经济学,3,谢丹夏,100,64,0,0,2-6(全周),外文教材，中文为主进行授课(双语课),2023,
社科学院,40700343,0,家庭社会学,3,赵一璋,36,8,0,0,1-2(全周),,,
社科学院,40700373,0,医学社会学,3,李晓谕,30,10,0,0,1-2(全周),,20212022,
社科学院,40700423,0,美国政治与外交,3,达巍,50,37,0,0,1-6(全周),,,
社科学院,40700473,0,外交学,3,赵可金,50,14,0,0,"1-4(全周),1-3(全周)",,2.0232E+11,
社科学院,40700533,0,世界经济史,3,徐志浩,100,36,20,20,"3-1(2-13周),1-1(2-13周)",,2022,
社科学院,40700802,0,原苏联东欧地区研究,2,吴大辉,20,5,0,0,1-3(全周),,2.0232E+11,
社科学院,40700923,0,中级政治经济学,3,赵准,80,51,10,10,2-2(全周),外文教材，中文为主进行授课(双语课),2023,
社科学院,40701033,0,产业经济学,3,李红军,80,20,0,0,5-2(全周),外文教材，中文为主进行授课(双语课),2023,
社科学院,40701173,0,金融社会学,3,郑路,25,14,0,0,3-6(全周),外文教材，中文为主进行授课(双语课),20232022,
社科学院,40701253,0,亚太地区政治与经济,3,刘丰,33,6,0,0,2-2(全周),外文授课比例≥50%(双语课),,
社科学院,40701402,0,前沿创新研究：社会应用智能(2),2,王非,10,6,0,0,(全周),实践课,2.0242E+11,
社科学院,40701422,0,前沿创新研究：心理健康(2),2,牟文婷,16,10,0,0,(全周),实践课,2.0242E+11,
社科学院,40701442,0,前沿创新研究：社会情感智能(2),2,伍珍,16,9,0,0,(全周),实践课,2.0242E+11,
社科学院,40701452,0,发展心理学进阶,2,钱静,15,4,0,0,3-2(全周),,2.0242E+11,
体育部,40720082,0,航空体育—海军（4）,2,王壹伦,25,10,0,0,"6-1(全周),5-3(全周),1-…",实践课,2023,
体育部,40720102,0,航空体育—海军（6）,2,郭惠珍,25,13,0,0,"6-1(全周),5-3(全周),1-…",实践课,2022,
艺教中心,40780012,90,录音与影视音乐制作,2,程远,13,0,2,0,"2-4(7-16周),2-4(1-6周)",,,
艺教中心,40780022,91,数字音频与制作技术,2,李巍,13,0,2,0,1-3(全周),,,
艺教中心,40780022,92,数字音频与制作技术,2,李巍,13,0,2,1,1-4(全周),,,
美术学院,40800163,0,服饰纺织品设计,3,刘亚,20,7,0,0,"3-2(12-15周),3-1(12-1…",,2022,
美术学院,40800415,0,服装设计（3）,5,王悦,20,2,0,0,"5-2(9-14周),5-1(9-14…",,2022,
美术学院,40800692,0,创作练习（2）,2,陈辉,15,4,0,0,"1-2(13-16周),1-1(13-1…",,2022,
美术学院,40802001,0,环境行为心理学,1,杜异,40,5,0,0,"4-2(1-4周),4-1(1-4周)",,2023,
美术学院,40802774,0,地毯设计,4,张宝华,20,7,0,0,"3-2(6-11周),3-1(6-11…",,2022,
美术学院,40803074,1,书籍设计,4,赵健,30,13,0,0,"3-2(9-13周),3-1(9-13…",,2022,
美术学院,40803074,2,书籍设计,4,王红卫,30,17,0,0,"3-2(9-13周),3-1(9-13周…",,2022,
美术学院,40803201,0,人体工程学,1,张月,40,5,0,0,"4-2(5-8周),4-1(5-8周)",,2023,
美术学院,40804690,0,毕业论文,15,刘平,20,3,0,0,(全周),,2021,
美术学院,40804731,0,产品计划,1,杨霖,25,6,0,0,"5-2(5-8周),5-1(5-8周)",,2022,
美术学院,40804852,1,家具设计,2,于历战,22,4,0,0,"1-1(9-12周),4-2(9-12周…",,2023,
美术学院,40804852,2,家具设计,2,刘铁军,20,3,0,0,"1-1(9-12周),4-2(9-12周…",,2023,
美术学院,40804852,3,家具设计,2,于历战,22,6,0,0,"5-2(13-16周),5-1(13-16…",,2022,
美术学院,40804852,4,家具设计,2,刘铁军,20,5,0,0,"5-2(13-16周),5-1(13-16…",,2022,
美术学院,40805211,0,综合设计表达,1,刘振生,25,6,0,0,"5-2(9-12周),5-1(9-12周)",,2022,
美术学院,40806453,0,中国传统雕塑彩塑,3,马天羽,20,4,0,0,"3-2(5-8周),3-1(5-8周),4…",,2022,
美术学院,40806483,0,抽象雕塑,3,陈辉,20,4,0,0,"3-1(1-4周),4-2(1-4周),4…",,2022,
美术学院,40806763,0,凸版版画技法（套色）,3,代大权,15,4,0,0,"1-2(1-6周),1-1(1-6周),2…",实验课,2022,
美术学院,40806933,0,凹版版画创作,3,裴莹,15,4,0,0,"1-2(13-16周),1-1(13-16…",实验课; 实践课;,2022,
美术学院,40806943,0,工笔人物（1）,3,丁荭,15,4,0,0,"3-1(1-4周),4-2(1-4周),4…",实践课,2022,
美术学院,40807023,0,水墨人物（2）,3,王巍,15,4,0,0,"3-2(5-8周),3-1(5-8周),4…",实践课,2022,
美术学院,40807092,0,活版印刷与手工书实践,2,原博,30,0,0,0,"1-2(7-8周),3-2(6-8周),1…",实验课; 实践课;,2022,
美术学院,40807093,0,色彩(3),3,张姗姗,12,3,0,0,"3-2(5-8周),3-1(5-8周),4…",实践课,2022,
美术学院,40807132,0,山水画（2）,2,刘利平,15,4,0,0,"3-2(9-12周),3-1(9-12周…",实践课,2022,
美术学院,40807193,0,视觉与空间,3,李德庚,50,20,0,0,"5-2(1-4周),5-1(1-4周),1…",实践课,2022,
美术学院,40807212,0,声音表现,2,岳伊娜,29,8,0,0,"3-2(12-15周),3-1(12-15…",,2022,
美术学院,40807233,0,现当代艺术理论,3,陈岸瑛,20,5,0,0,"2-1(1-6周),4-2(1-6周),4…",,2022,
美术学院,40807243,0,素描（4）,3,韩博,12,3,0,0,"3-1(1-4周),4-2(1-4周),4…",实践课,2022,
美术学院,40807553,0,摄影作品研究,3,张正腾,21,10,0,0,"1-1(7-10周),3-2(7-10周…",,2022,
美术学院,40807663,0,软雕创作(2),3,岳嵩,12,4,0,0,"3-2(11-14周),3-1(11-14…",实验课,2022,
美术学院,40807673,0,装饰玻璃(2),3,关东海,12,3,0,0,"1-2(5-8周),1-1(5-8周),3…",实验课,2022,
美术学院,40807684,0,创意与表现,4,林乐成,12,4,0,0,"5-2(1-5周),5-1(1-5周),1…",实验课,2022,
美术学院,40807704,0,等大泥塑女人体,4,李象群,21,2,0,0,"3-1(7-12周),4-2(7-12周…",实践课,2021,
美术学院,40807714,0,等大泥塑男人体,4,马文甲,21,2,0,0,"1-2(1-6周),1-1(1-6周),2…",实践课,2021,
美术学院,40807773,0,软雕创作(1),3,岳嵩,15,7,0,0,"1-1(7-10周),3-2(7-10周…",,2022,
美术学院,40807822,1,场地与环境,2,管沄嘉,22,4,0,0,"4-2(13-16周),4-1(13-16…",实验课; 实践课;,2023,
美术学院,40807822,2,场地与环境,2,汪建松,20,3,0,0,"4-2(13-16周),4-1(13-16…",实验课; 实践课;,2023,
美术学院,40808283,0,吹制玻璃(3),3,李静,12,3,0,0,"5-2(1-4周),5-1(1-4周),1…",,2022,
美术学院,40808403,0,交通工具立体设计表达（2）,3,刘新,20,7,0,0,"1-1(9-12周),3-2(9-12周…",,2022,
美术学院,40808443,0,跨媒介多媒体影像艺术,3,邓岩,21,10,0,0,"3-2(11-14周),3-1(11-14…",,2022,
美术学院,40808453,0,交通工具造型设计(2),3,张雷,20,7,0,0,"5-2(1-4周),5-1(1-4周),1…",,2022,
美术学院,40808473,0,材料实践（3）,3,王轶男,21,2,0,0,"1-2(13-16周),1-1(13-16…",实践课,2021,
美术学院,40808643,1,专业设计（6）,3,黄艳,22,6,0,0,"1-2(7-12周),1-1(7-12周…",实验课,2022,
美术学院,40808643,2,专业设计（6）,3,宋立民,20,5,0,0,"1-2(7-12周),1-1(7-12周…",实验课,2022,
美术学院,40808784,0,窑制玻璃（3）,4,关东海,12,3,0,0,"3-2(9-13周),3-1(9-13周…",,2022,
美术学院,40808812,0,凹版版画技法,2,裴莹,15,4,0,0,"3-2(9-12周),3-1(9-12周…",实践课,2022,
美术学院,40808912,0,跨专业设计实践(4),2,张雷,40,8,0,0,"1-2(13-16周),1-1(13-16…",,2022,
美术学院,40808953,1,专业设计（5）,3,梁雯,22,6,0,0,"1-2(1-6周),1-1(1-6周),5…",,2022,
美术学院,40808953,2,专业设计（5）,3,崔笑声,20,5,0,0,"1-2(1-6周),1-1(1-6周),5…",,2022,
美术学院,40808992,0,智能空间设计,2,王之纲,26,10,0,0,"1-2(后八周),1-1(后八周)",实践课,2022,
美术学院,40809002,0,视觉语言训练,2,李天元,12,3,0,0,"3-2(9-12周),3-1(9-12周…",实践课,2022,
美术学院,40809012,0,创作练习（4）,2,顾黎明,12,3,0,0,"1-2(13-16周),1-1(13-16…",实践课,2022,
美术学院,40809054,0,室内纺织品设计,4,张宝华,18,5,0,0,"5-2(1-5周),5-1(1-5周),1…",,2022,
美术学院,40809061,0,纸纤维艺术与设计,1,原博,45,15,0,0,"5-2(5周),5-1(5周),1-2(5…",实验课; 实践课;,2022,
美术学院,40809071,0,材料与实验雕塑创作,1,郅敏,21,2,0,0,"4-6(10,12,14,16周),4-4…",实践课,2021,
美术学院,40809091,0,意象雕塑创作,1,马天羽,21,2,0,0,"4-6(2,4,6,8周),4-4(2,4,…",实践课,2021,
美术学院,40809101,0,材料与实验雕塑,1,许正龙,20,4,0,0,"4-6(2,4,6,8周),4-4(2,4,…",实践课,2022,
美术学院,40809131,0,公共雕塑（1）,1,董书兵,20,4,0,0,"4-6(10,12,14,16周),4-4…",实践课,2022,
美术学院,40809151,0,专业实践考察(2),1,文中言,15,4,0,0,"5-1(7-8周),1-2(7-8周),1…",实验课; 实践课;,2022,
美术学院,40809152,0,广告设计,2,陈楠,50,20,0,0,"3-1(14-16周),5-2(14-16…",,2022,
美术学院,40809163,0,具象雕塑,3,李象群,20,4,0,0,"1-2(13-16周),1-1(13-16…",实践课,2022,
美术学院,40809213,0,产品设计（2）,3,赵超,25,6,0,0,"1-2(7-12周),1-1(7-12周…",,2022,
美术学院,40809223,0,产品设计（1）,3,王国胜,25,7,0,0,"1-2(1-6周),1-1(1-6周),3…",,2022,
美术学院,40809224,0,陶瓷设计(1),4,杨帆,15,5,0,0,"5-2(1-5周),5-1(1-5周),1…",实践课,2022,
美术学院,40809244,0,陶瓷设计(3),4,吴昊宇,15,5,0,0,"3-2(10-15周),3-1(10-15…",,2022,
美术学院,40809302,0,交通工具平面设计表达（2）,2,刘志国,20,7,0,0,"1-2(5-8周),1-1(5-8周),3…",,2022,
美术学院,40809303,0,陶瓷设计（2）,3,尹航,15,5,0,0,"3-1(6-9周),1-1(7-10周),…",实践课,2022,
美术学院,40809362,0,金属工艺基础,2,潘妙,30,11,0,0,"4-2(1-4周),4-1(1-4周),1…",实践课,2023,
美术学院,40809403,0,信息设计（1）,3,张茫茫,26,10,0,0,"3-2(7-12周),3-1(7-12周…",,2022,
美术学院,40809432,0,交互技术（2）,2,米海鹏,26,10,0,0,"1-2(前八周),1-1(前八周)",,2022,
美术学院,40809442,1,环境物理,2,宋立民,22,7,0,0,"3-2(前八周),3-1(前八周)",,2022,
美术学院,40809442,2,环境物理,2,杜异,20,5,0,0,"3-2(前八周),3-1(前八周)",,2022,
美术学院,40809503,0,交互设计（1）,3,付志勇,26,10,0,0,"3-2(1-6周),3-1(1-6周),5…",,2022,
美术学院,40809541,0,后期合成,1,王晓宇,29,8,0,0,"5-2(12-15周),5-1(12-15…",,2022,
美术学院,40809551,0,交通工具计算机辅助设计（1）,1,刘志国,20,7,0,0,"5-2(5-8周),5-1(5-8周)",,2022,
美术学院,40809614,0,摄影实践与创作（1）,4,冯建国,21,10,0,0,"5-2(1-5周),5-1(1-5周),1…",,2022,
美术学院,40809621,0,设计心理学,1,蒋红斌,40,7,0,0,"4-2(5-8周),4-1(5-8周)",,2023,
美术学院,40809673,0,设计批评,3,杭间,20,5,0,0,"5-2(1-12周),5-1(1-12周)",,2022,
美术学院,40809752,0,可用性工程,2,谭佳佳,26,10,0,0,"5-2(13-16周),5-1(13-16…",,2022,
美术学院,40809980,1,毕业设计(创作)与综合论文训练,15,张歌明,50,8,0,0,(全周),实验课; 实践课;,2021,
美术学院,40809980,10,毕业设计(创作)与综合论文训练,15,范寅良,22,6,0,0,(全周),实验课; 实践课;,2021,
美术学院,40809980,11,毕业设计(创作)与综合论文训练,15,王晓昕,15,6,0,0,(全周),实验课; 实践课;,2021,
美术学院,40809980,12,毕业设计(创作)与综合论文训练,15,程向军,15,8,0,0,(全周),实验课; 实践课;,2021,
美术学院,40809980,13,毕业设计(创作)与综合论文训练,15,王巍,15,6,0,0,(全周),实验课; 实践课;,2021,
美术学院,40809980,14,毕业设计(创作)与综合论文训练,15,顾黎明,18,6,0,0,(全周),实验课; 实践课;,2021,
美术学院,40809980,15,毕业设计(创作)与综合论文训练,15,崔彦伟,15,4,0,0,(全周),实验课; 实践课;,2021,
美术学院,40809980,16,毕业设计(创作)与综合论文训练,15,曾成钢,21,4,0,0,(全周),实验课; 实践课;,2020,
美术学院,40809980,2,毕业设计(创作)与综合论文训练,15,付志勇,31,13,0,0,(1-15周),实验课; 实践课;,2021,
美术学院,40809980,3,毕业设计(创作)与综合论文训练,15,王之纲,23,9,0,0,(1-15周),实验课; 实践课;,2021,
美术学院,40809980,4,毕业设计(创作)与综合论文训练,15,冯建国,17,10,0,0,(1-15周),实验课; 实践课;,2021,
美术学院,40809980,5,毕业设计(创作)与综合论文训练,15,张宝华,15,3,0,0,(全周),实验课; 实践课;,2021,
美术学院,40809980,6,毕业设计(创作)与综合论文训练,15,李迎军,20,9,0,0,(全周),实验课; 实践课;,2021,
美术学院,40809980,7,毕业设计(创作)与综合论文训练,15,白明,15,3,0,0,(全周),实验课; 实践课;,2021,
美术学院,40809980,8,毕业设计(创作)与综合论文训练,15,于历战,40,13,0,0,(全周),实验课; 实践课;,2021,
美术学院,40809980,9,毕业设计(创作)与综合论文训练,15,赵超,22,5,0,0,(全周),实验课; 实践课;,2021,
建管系,40910010,0,综合论文训练,15,郭红领,30,14,0,0,(全周),,2021,
天文系,40920013,0,恒星与行星,3,ORMEL…,30,16,5,5,4-6(全周),全外文授课; 认证外文课;,,
天文系,40920023,0,星系与宇宙,3,茅奕,40,27,10,8,1-6(全周),,,
天文系,40920043,0,天文专题研究课(1),3,茅奕,20,18,5,5,(全周),,,
天文系,40920063,90,天体物理中的数量级估计,3,李昕宇,30,21,5,2,2-6(全周),,,
心理系,40950031,0,科研生涯管理,1,刘静远,10,0,0,0,5-4(前八周),实践课,2023,
心理系,40950043,0,心智进阶,3,牟文婷,10,0,0,0,5-2(全周),,2023,
建筑技术,40990060,0,综合论文训练,15,刘晓华,40,11,0,0,(全周),,2021,
建筑技术,40990142,0,洁净技术,2,赵彬,25,13,0,0,2-2(全周),,2022,
建筑技术,40990262,0,制冷与热泵装置设计,2,王宝龙,30,10,5,4,1-2(全周),,2022,
教研院,41030042,0,课程与教学：理论与应用,2,钟周,30,9,0,0,2-6(全周),,,
网络研究院,41120022,0,网络编程技术,2,张千里,50,7,0,0,3-1(全周),,2022,
基础医学院,44000043,1,系统解剖学,3,刘津平,35,0,0,0,"1-4(全周),1-3(全周)",外文教材，中文为主进行授课(双语课),2023,
基础医学院,44000043,2,系统解剖学,3,刘津平,29,1,0,0,"3-2(全周),3-1(全周)",外文教材，中文为主进行授课(双语课),2023,
基础医学院,44000043,3,系统解剖学,3,刘津平,30,7,0,0,"3-4(全周),3-3(全周)",外文教材，中文为主进行授课(双语课),2024,
药学院,44000112,0,药剂学,2,刘清飞,36,12,0,0,2-1(全周),,20242022,
药学院,44000254,0,药学综合实验,4,刘清飞,25,14,0,0,(全周),实验课,20232022,
药学院,44000261,2,药剂学实验,1,刘清飞,16,6,0,0,"3-3(双周),3-4(双周)",实验课,2.0232E+11,
药学院,44000295,0,综合论文训练,15,郝艳丽,30,2,0,0,(全周),,2021,
生医工程学院,44000423,0,神经建模与数据分析,3,SONG S…,30,24,0,0,4-2(全周),外文教材，中文为主进行授课(双语课),2022,
基础医学院,44000460,0,医学实验班毕业考试,0,吴宁,40,24,0,0,(后八周),实践课,2017,
基础医学院,44000480,0,医学实验班毕业论文写作指导,0,吴宁,40,26,0,0,(前八周),,2017,
临床医学院,44000501,0,物理医学与康复医学,1,潘钰,20,5,0,0,"2-4(后八周),2-3(后八周)",,20172018,
生医工程学院,44000583,0,生物医学检测—光学仪器设计,3,黄国亮,20,0,0,0,5-2(全周),,2.0232E+11,
生医工程学院,44000603,0,生物医学工程综合设计,3,徐友春,30,9,0,0,"4-4(全周),4-3(全周)",实验课,2.0232E+11,
临床医学院,44000614,0,临床神经科学,4,武剑,0,0,0,0,(全周),实践课,,
临床医学院,44000664,0,临床选修轮转-耳鼻咽喉头颈外科,4,叶京英,0,0,0,0,(全周),,,
临床医学院,44000674,0,临床选修轮转-心血管内科,4,张萍,0,0,0,0,(全周),,,
临床医学院,44000684,0,临床选修轮转-泌尿外科学,4,李建兴,0,0,0,0,(全周),外文授课比例≥50%(双语课),,
临床医学院,44000694,0,临床选修轮转-神经和精神系统,4,张玉琪,0,0,0,0,(全周),实践课,,
临床医学院,44000704,0,肝胆胰疾病临床诊疗实践,4,董家鸿,0,0,0,0,(全周),,,
临床医学院,44000714,0,临床选修轮转-心脏外科与辅助循环,4,王廉一,0,0,0,0,(全周),外文授课比例≥50%(双语课),,
药学院,44020013,0,药物设计,3,何伟,30,7,0,0,"1-4(全周),1-3(全周)",外文教材，中文为主进行授课(双语课),20242022,
药学院,44020022,0,生物技术药物,2,杜娟娟,20,0,0,0,3-6(全周),外文教材，中文为主进行授课(双语课),20232022,
药学院,44020042,0,药物分析,2,胡泽平,30,6,0,0,3-2(全周),,20242022,
药学院,44020072,0,免疫治疗药物与技术,2,唐海东,30,22,0,0,4-2(全周),外文教材，中文为主进行授课(双语课),20232022,
药学院,44020092,0,药物递送材料与技术,2,蒯锐,25,14,0,0,1-2(全周),外文教材，中文为主进行授课(双语课),2.0232E+11,
生医工程学院,44030140,0,综合论文训练,15,赵锡海,31,3,0,0,(全周),,2021,
生医工程学院,44030263,0,系统与计算神经科学,3,洪波,50,10,0,0,"1-4(全周),1-3(全周)",,2.0232E+11,
软件学院,44100010,0,综合论文训练,15,王朝坤,103,3,0,0,(全周),,2021,
软件学院,44100102,0,人工智能导论,2,龙明盛,130,0,0,0,1-4(全周),外文教材，中文为主进行授课(双语课),20232022,
软件学院,44100552,0,机器学习,2,龙明盛,70,0,30,0,2-2(全周),外文教材，中文为主进行授课(双语课); 实践课;,2.0232E+11,
软件学院,44100563,0,形式语言与自动机,3,高跃,110,20,0,0,3-2(全周),,2023,
软件学院,44100582,0,算法分析与设计基础,2,王斌,120,20,0,0,2-1(全周),外文教材，中文为主进行授课(双语课),20232022,
软件学院,44100603,0,软件分析与验证,3,贺飞,58,38,0,0,5-2(全周),,2022,
软件学院,44100612,0,移动应用软件开发,2,王继良,90,31,0,0,"1-2(前八周),3-1(前八周)",,2022,
软件学院,44100622,0,云服务性能优化,2,李振华,90,6,0,0,3-4(全周),外文教材，中文为主进行授课(双语课),2022,
软件学院,44100632,0,嵌入式系统,2,何源,70,38,0,0,4-2(全周),,2022,
新雅书院,44700033,0,政治学原理,3,汪卫华,30,0,0,0,1-6(全周),,2023,
新雅书院,44700063,0,中国哲学（2）,3,高海波,35,21,0,0,2-6(全周),,20232022,
新雅书院,44700083,0,社会理论,3,陈涛,32,5,0,0,2-6(全周),,2023,
新雅书院,44700093,0,政经哲研讨课(4),3,梅赐琪,30,20,0,0,"3-4(全周),3-3(全周)",,20232022,
新雅书院,44700142,0,学术论文训练,2,张伟特,20,15,0,0,(全周),,2022,
新雅书院,44700152,0,用户体验设计基础,2,米海鹏,15,7,0,0,"1-4(前八周),1-3(前八周)",,2022,
新雅书院,44700160,0,毕业设计,10,张雷,35,32,0,0,(全周),实践课,,
新雅书院,44700185,0,综合论文训练,15,马赛,17,0,0,0,(全周),,2021,
新雅书院,44700262,0,设计思维,2,张雷,15,6,0,0,"2-2(前八周),2-1(前八周)",实践课,,
新雅书院,44700313,0,机械制造基础,3,吴丹,15,4,0,0,4-2(全周),,2022,
新雅书院,44700320,0,综合论文训练,10,张伟特,20,3,0,0,(全周),,2021,
新雅书院,44700363,0,理解发展,3,严海蓉,30,23,0,0,"1-4(全周),1-3(全周)",,20232022,
致理书院,44710023,1,现代化学创新思维训练(2),3,王朝晖,25,4,0,0,3-6(全周),外文教材，中文为主进行授课(双语课),2023,
致理书院,44710023,3,现代化学创新思维训练(2),3,焦雷,25,0,0,0,3-6(全周),外文教材，中文为主进行授课(双语课),2023,
致理书院,44710042,0,计算机创新思维训练(2),2,朱军,60,29,0,0,3-4(全周),实践课,2023,
日新书院,44720083,1,哲学经典与专题研讨班（3）,3,肖鹰,12,6,3,3,2-2(全周),专题研讨课,20232022,
日新书院,44720083,2,哲学经典与专题研讨班（3）,3,袁艾,10,0,5,5,"3-4(全周),3-3(全周)",专题研讨课,20232022,
日新书院,44720083,3,哲学经典与专题研讨班（3）,3,李洋,30,7,3,2,"1-4(全周),1-3(全周)",专题研讨课,20232022,
日新书院,44720083,4,哲学经典与专题研讨班（3）,3,程炜,17,8,3,1,3-6(全周),专题研讨课,20232022,
日新书院,44720113,1,经典研读与专题研讨（1）,3,方诚峰,10,6,0,0,4-6(全周),专题研讨课,2023,
日新书院,44720113,10,经典研读与专题研讨（1）,3,耿弘明,10,10,0,0,4-2(全周),专题研讨课,,
日新书院,44720113,2,经典研读与专题研讨（1）,3,刘晓峰,10,7,0,0,3-6(全周),专题研讨课,2023,
日新书院,44720113,3,经典研读与专题研讨（1）,3,侯旭东,10,8,0,0,2-2(全周),专题研讨课,2023,
日新书院,44720113,4,经典研读与专题研讨（1）,3,王奇,10,5,0,0,4-6(全周),专题研讨课,2023,
日新书院,44720113,5,经典研读与专题研讨（1）,3,孙正军,10,2,0,0,2-6(全周),专题研讨课,2023,
日新书院,44720113,6,经典研读与专题研讨（1）,3,熊鹰,10,0,0,0,4-2(全周),专题研讨课,2023,
日新书院,44720113,7,经典研读与专题研讨（1）,3,袁先欣,10,0,0,0,2-6(全周),专题研讨课,2023,
