开课院系,课程号,课序号,课程名,学分,主讲教师,本科生课容量,本科生课余量,研究生课容量,研究生课余量,上课时间,课程特色,年级,通识选秀课组
经管学院,510602,90,创业训练营,2,杨德林,30,23,0,0,"3-6(前八周),1-6(前八周)",文化素质课,,
经管学院,510722,0,组织行为学,2,卢舒野,50,28,0,0,2-6(全周),文化素质课,2023,
经管学院,511142,0,领导力提升,2,曲庆,34,21,0,0,1-6(全周),,2022,
经管学院,511182,90,创新与人类文明,2,陈劲,57,22,0,0,"3-6(前八周),1-6(前八周)",文化素质课; 通识选修课;,,社科课组
公管学院,590043,90,中国国情与发展,3,胡鞍钢,180,113,0,0,2-6(全周),文化素质核心课; 文化素质课; 通识选修课;,,社科课组
公管学院,590052,90,中国的统一与台湾问题,2,殷存毅,120,0,0,0,4-6(全周),文化素质核心课; 文化素质课; 通识选修课;,,社科课组
公管学院,590062,90,腐败的政治经济学,2,过勇,50,0,0,0,3-6(全周),文化素质课; 通识选修课;,,社科课组
公管学院,590072,90,讲好知识的故事,2,梅赐琪,41,0,0,0,3-6(全周),文化素质核心课; 文化素质课; 通识选修课;,,社科课组
公管学院,590082,90,数字治理：法律、政策与实践,2,陈天昊,100,19,0,0,5-6(全周),专题研讨课; 文化素质课; 通识选修课;,,社科课组
金融学院,600022,90,中美贸易争端和全球化重构,2,鞠建东,270,112,10,5,2-6(1-12周),文化素质核心课; 文化素质课; 通识选修课;,,社科课组
外文系,641452,91,英语文学中的中国形象,2,孙赛茵,20,11,0,0,2-2(全周),文化素质核心课; 文化素质课; 通识选修课; 通识荣誉课;,,人文课组
外文系,641452,92,英语文学中的中国形象,2,孙赛茵,20,1,0,0,2-4(全周),文化素质核心课; 文化素质课; 通识选修课; 通识荣誉课;,,人文课组
外文系,641452,93,英语文学中的中国形象,2,孙赛茵,20,6,0,0,3-2(全周),文化素质核心课; 文化素质课; 通识选修课; 通识荣誉课;,,人文课组
外文系,641452,94,英语文学中的中国形象,2,孙赛茵,20,4,0,0,3-4(全周),文化素质核心课; 文化素质课; 通识选修课; 通识荣誉课;,,人文课组
外文系,641662,90,莎士比亚悲剧与喜剧精读,2,刘昊,30,1,0,0,2-6(全周),文化素质核心课; 文化素质课; 通识选修课;,,人文课组
外文系,641842,90,历史中的翻译,2,郑文博,25,11,0,0,4-2(全周),文化素质课; 通识选修课;,,人文课组
外文系,642223,90,探索人类语言的奥秘,3,徐婷,20,0,0,0,"2-4(全周),2-3(全周)",外文授课比例≥50%(双语课); 文化素质课; 通识选修课;,,人文课组
外文系,642233,90,环境文学读写,3,宋丽丽,35,18,0,0,2-2(全周),全外文授课; 文化素质课; 认证外文课; 通识选修课;,,人文课组
外文系,642272,90,印度文明,2,姜景奎,50,0,0,0,2-6(全周),外文教材，中文为主进行授课(双语课); 通识选修课;,,人文课组
法学院,660122,90,知识产权法,2,冯术杰,100,74,10,10,"3-6(前八周),4-6(前八周)",文化素质核心课; 文化素质课; 通识选修课;,,
法学院,660132,90,合同法,2,汪洋,110,3,10,8,2-6(全周),文化素质核心课; 文化素质课; 通识选修课;,,社科课组
法学院,660242,90,法律与神话传说,2,李平,190,0,10,10,5-6(全周),文化素质核心课; 文化素质课; 通识选修课;,,人文课组
法学院,660263,90,法律思维,3,刘晗,60,0,0,0,5-2(全周),外文授课比例≥50%(双语课); 文化素质核心课; 文化素质课; 通识选修课;,,社科课组
法学院,660293,90,法律人类学导论,3,赵晓力,25,9,10,10,5-2(全周),通识选修课,,社科课组
新闻学院,670143,90,电影文化,3,尹红,150,0,10,1,1-6(全周),文化素质核心课; 文化素质课; 通识选修课;,,艺术课组
新闻学院,670362,90,媒介素养综合知识与实践,2,覃川,40,0,0,0,3-6(1-11周),文化素质核心课; 文化素质课; 通识选修课;,,社科课组
新闻学院,670372,90,欧洲媒体、文化与社会,2,张莉,20,0,5,4,"2-4(单周),2-3(单周)",外文教材，中文为主进行授课(双语课); 文化素质课; 通识选修课;,,社科课组
新闻学院,670403,90,镜头中的国家与社会,3,梁君健,50,0,5,1,2-6(全周),文化素质课; 通识选修课;,,人文课组
新闻学院,670413,90,视听语言与短片创作,3,司若,30,0,5,1,"2-4(全周),2-3(全周)",文化素质课; 实践课; 通识选修课;,,艺术课组
新闻学院,670442,90,人际传播与公共演讲,2,匡恺,28,17,0,0,4-6(1-11周),外文授课比例≥50%(双语课),,
马克思主义学院,680211,1,改革开放史(“四史”),1,鄢一龙,80,0,0,0,1-2(后八周),,,
人文学院,690062,90,围棋与中国文化,2,方天丰,200,0,0,0,4-6(全周),文化素质核心课; 文化素质课; 通识选修课;,,人文课组
人文学院,690092,90,逻辑学概论,2,陈为蓬,100,8,0,0,4-1(全周),文化素质课; 通识选修课;,,科学课组
